date,min,max,median,q1,q3,stdev,count
2019-12-28T00:00:00.000Z,1.6,5.2,2.7,2.31,4.04,0.975,259
2019-12-29T00:00:00.000Z,1.82,15.4,8.19,3.85,11.75,4.204,593
2019-12-30T00:00:00.000Z,0.88,14.73,3.15,2.11,4.97,3.331,581
2019-12-31T00:00:00.000Z,0.1,25.15,0.56,0.32,0.8,1.994,575
2020-01-01T00:00:00.000Z,0.6,10.02,1.37,0.99,2.27,1.401,582
2020-01-02T00:00:00.000Z,1.34,11.69,6.3,4.3,8.49,2.653,573
2020-01-03T00:00:00.000Z,0.16,7.54,0.74,0.52,1.6,1.438,548
2020-01-04T00:00:00.000Z,0.12,2.4,0.55,0.37,0.8,0.348,558
2020-01-05T00:00:00.000Z,0.45,2.54,1.01,0.8,1.22,0.31,563
2020-01-06T00:00:00.000Z,0.35,4.76,2.2,1.43,2.68,0.926,515
2020-01-07T00:00:00.000Z,0.2,12.15,3.43,0.67,5.96,3.318,511
2020-01-08T00:00:00.000Z,0.8,4.05,2.22,1.88,2.5,0.54,506
2020-01-09T00:00:00.000Z,1.42,18.17,2.75,2.44,3.65,2.189,541
2020-01-10T00:00:00.000Z,1.48,22.18,3,2.13,10.55,5.603,428
2020-01-11T00:00:00.000Z,0.56,7.84,2.08,1.4,3.01,1.309,531
2020-01-12T00:00:00.000Z,0.28,3.25,1.1,0.69,1.55,0.573,567
2020-01-13T00:00:00.000Z,1.08,3.96,2.29,1.91,2.92,0.638,481
2020-01-14T00:00:00.000Z,1.72,11.9,4.55,2.56,6.15,2.269,437
2020-01-15T00:00:00.000Z,0.25,8.5,1.07,0.76,2.31,1.813,461
2020-01-16T00:00:00.000Z,0.48,4.25,2.8,2,3.16,0.916,476
2020-01-17T00:00:00.000Z,1.97,19.82,12.04,3,13.97,5.718,468
2020-01-18T00:00:00.000Z,0.2,26.08,11.42,0.78,17.51,8.156,501
2020-01-19T00:00:00.000Z,0.3,6.92,0.9,0.6,1.28,0.653,470
2020-01-20T00:00:00.000Z,0.45,3.25,1.46,1.19,1.9,0.584,364
2020-01-21T00:00:00.000Z,0.25,2.99,1.21,0.65,2.13,0.768,463
2020-01-22T00:00:00.000Z,0.25,0.56,0.4,0.3,0.44,0.092,17
2020-01-23T00:00:00.000Z,0.5,2.25,1.04,0.85,1.37,0.374,86
2020-01-24T00:00:00.000Z,0.46,2.56,1.2,0.98,1.42,0.33,266
2020-01-25T00:00:00.000Z,0.45,5.5,0.95,0.73,1.53,1.092,297
2020-01-26T00:00:00.000Z,0.5,3.2,1.1,0.85,1.42,0.497,307
2020-01-27T00:00:00.000Z,2.22,15.92,5.74,4.09,7.78,2.904,255
2020-01-28T00:00:00.000Z,2.95,18,8.4,6.65,9.98,3.263,275
2020-01-29T00:00:00.000Z,0.7,19.88,2.9,1.3,4.09,2.984,314
2020-01-30T00:00:00.000Z,1.02,7.9,3.3,2.46,3.85,1.17,297
