date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.99,10.36,2.31,1.75,3.43,1.745,320
2019-12-10T00:00:00.000Z,1.28,13.72,4.7,3.73,8.86,2.954,418
2019-12-11T00:00:00.000Z,6.6,16.89,10.9,9,12.76,2.279,405
2019-12-12T00:00:00.000Z,9.26,62.88,19.96,18.35,22,4.9,483
2019-12-13T00:00:00.000Z,1.21,29.47,14.52,2.44,16.87,6.711,568
2019-12-14T00:00:00.000Z,0.99,4.17,2,1.69,2.66,0.686,401
2019-12-15T00:00:00.000Z,0.62,15.76,3.5,2.39,5.13,2.015,575
2019-12-16T00:00:00.000Z,4.96,14.98,8.07,6.65,12.66,3.137,286
2019-12-17T00:00:00.000Z,6.58,60.5,9.01,7.95,12.35,6.186,294
2019-12-18T00:00:00.000Z,8,31.58,9.36,8.77,10.91,3.691,468
2019-12-19T00:00:00.000Z,7.5,33.57,13.72,10.98,17.67,4.807,555
2019-12-20T00:00:00.000Z,1.75,30.72,9.01,2.75,11.08,4.608,585
2019-12-21T00:00:00.000Z,1.89,32.07,12.98,9.82,17.89,5.608,571
2019-12-22T00:00:00.000Z,1.2,23.37,15.88,13.67,17.5,6.228,582
2019-12-23T00:00:00.000Z,1.11,5.12,1.75,1.48,2.25,0.842,481
2019-12-24T00:00:00.000Z,1.68,7.82,3.09,2.5,3.66,1.111,356
2019-12-25T00:00:00.000Z,1.18,6.15,2.92,2.34,3.45,0.775,590
2019-12-26T00:00:00.000Z,3.45,23.1,9.14,6.52,11.75,3.875,594
2019-12-27T00:00:00.000Z,5.41,25.45,13.7,8.26,15.71,4.311,588
2019-12-28T00:00:00.000Z,1.7,40.82,6.09,4.12,7.84,4.816,586
2019-12-29T00:00:00.000Z,3.95,21.06,6.45,5.68,10.49,3.581,592
2019-12-30T00:00:00.000Z,4.7,24.95,11.92,10.3,14.66,2.942,577
2019-12-31T00:00:00.000Z,11.73,236.72,18.2,16.57,21.68,24.005,577
2020-01-01T00:00:00.000Z,24.53,138.15,39.04,32.54,50.23,27.711,585
2020-01-02T00:00:00.000Z,13.58,37.28,23.34,19.48,26.63,4.564,573
2020-01-03T00:00:00.000Z,9.22,33.74,22.38,20.03,25.25,4.486,558
2020-01-04T00:00:00.000Z,1.25,12.12,5,3.45,7.86,2.86,559
2020-01-05T00:00:00.000Z,1.7,38.04,3.9,2.4,8.02,4.532,564
2020-01-06T00:00:00.000Z,4.51,25.1,8.86,7.2,18.46,6.119,519
2020-01-07T00:00:00.000Z,17.1,36.85,23.97,21.51,29.65,4.695,520
2020-01-08T00:00:00.000Z,13.4,42.1,19.92,16.32,26.04,6.286,504
2020-01-09T00:00:00.000Z,7.08,28.56,12.02,9.1,21.79,6.6,530
2020-01-10T00:00:00.000Z,1.35,15.87,9.5,7.82,10.45,2.605,418
2020-01-11T00:00:00.000Z,1.52,21.05,4.34,2.49,9.96,5.406,527
2020-01-12T00:00:00.000Z,8.46,41.73,16.89,12.35,21.01,5.246,561
2020-01-13T00:00:00.000Z,19.18,31.88,25.13,23.59,27.34,2.805,481
2020-01-14T00:00:00.000Z,15.55,35.15,26.04,20.53,28.58,4.993,439
2020-01-15T00:00:00.000Z,17.07,38.33,28.95,24.24,31.31,4.209,465
2020-01-16T00:00:00.000Z,12.75,33.76,22.07,18.73,25.32,4.604,478
2020-01-17T00:00:00.000Z,15.64,45.32,24.24,20.14,30.55,6.936,459
