date,min,max,median,q1,q3,stdev,count
2024-02-01T00:00:00.000Z,0.6,33.83,1.44,0.93,3.95,4.568,164
2024-02-02T00:00:00.000Z,0.47,2.78,0.82,0.7,1,0.279,395
2024-02-03T00:00:00.000Z,0.22,2.25,0.6,0.5,0.75,0.26,401
2024-02-04T00:00:00.000Z,0,1.4,0.2,0.2,0.32,0.184,444
2024-02-05T00:00:00.000Z,0,2.72,0.3,0.2,0.5,0.529,366
2024-02-06T00:00:00.000Z,0.47,2.35,0.7,0.6,0.88,0.31,42
2024-02-07T00:00:00.000Z,0.6,2.7,1.15,1,1.55,0.449,186
2024-02-08T00:00:00.000Z,0.4,2.45,1.4,1.01,1.72,0.494,48
2024-02-09T00:00:00.000Z,1.6,14.05,5.43,3.95,8.13,3.128,171
2024-02-12T00:00:00.000Z,1.27,3.22,2.04,1.84,2.29,0.414,41
2024-02-13T00:00:00.000Z,0.3,1.2,0.63,0.55,0.72,0.177,76
2024-02-15T00:00:00.000Z,0.8,0.95,0.9,0.82,0.9,0.049,7
2024-02-17T00:00:00.000Z,0.4,0.8,0.55,0.5,0.65,0.114,30
2024-02-18T00:00:00.000Z,0.4,1.35,0.7,0.6,0.89,0.179,221
2024-02-23T00:00:00.000Z,0.4,0.8,0.56,0.5,0.63,0.112,10
2024-02-29T00:00:00.000Z,1.42,3.03,2.1,1.88,2.38,0.339,206
2024-03-01T00:00:00.000Z,1.73,3.17,2.47,2.2,2.7,0.346,87
2024-03-03T00:00:00.000Z,1.55,1.92,1.73,1.58,1.89,0.141,5
2024-03-04T00:00:00.000Z,34.2,37.78,35.78,34.42,36.81,1.243,5
2024-03-05T00:00:00.000Z,0.8,12.88,1.57,1.3,2.25,1.177,288
2024-03-06T00:00:00.000Z,0.56,5.43,2.92,1.75,3.6,1.257,488
2024-03-07T00:00:00.000Z,3.17,12.48,4.84,4.3,5.3,1.006,489
2024-03-08T00:00:00.000Z,1.77,5.18,3.25,2.54,3.63,0.669,501
2024-03-09T00:00:00.000Z,0.77,4.72,1.67,1.23,2,0.505,497
2024-03-10T00:00:00.000Z,0.6,115.43,2.29,1.38,5.74,12.165,493
2024-03-11T00:00:00.000Z,0.22,5.8,0.98,0.6,1.8,1.196,492
2024-03-12T00:00:00.000Z,0.3,142.18,0.7,0.6,1.47,21.708,497
2024-03-13T00:00:00.000Z,3.28,8.35,5.15,4.07,6.77,1.411,49
2024-03-16T00:00:00.000Z,0.5,2.2,0.98,0.8,1.42,0.433,116
2024-03-17T00:00:00.000Z,0.3,122.2,1.08,0.63,4.05,25.71,490
2024-03-18T00:00:00.000Z,2.1,486.55,12.8,8.05,23.69,40.517,505
2024-03-19T00:00:00.000Z,0.9,14.1,3.75,1.63,5.13,2.811,491
2024-03-20T00:00:00.000Z,0.9,5.68,2.33,1.4,3.08,1,483
2024-03-21T00:00:00.000Z,0.7,5.57,1.55,1.14,1.83,0.594,467
2024-03-22T00:00:00.000Z,0.8,122.88,1.5,1.1,2.1,6.38,413
2024-03-23T00:00:00.000Z,0.15,4.07,0.95,0.6,1.65,0.605,461
2024-03-24T00:00:00.000Z,0.1,122.88,1.17,0.3,4.9,20.966,487
2024-03-25T00:00:00.000Z,0.2,59.38,0.63,0.5,1.92,5.335,498
2024-03-26T00:00:00.000Z,0.5,2.47,1.02,0.85,1.2,0.244,495
2024-03-27T00:00:00.000Z,0.3,2.5,0.85,0.7,1,0.295,495
2024-03-28T00:00:00.000Z,0.13,2.67,0.6,0.43,0.8,0.302,503
2024-03-29T00:00:00.000Z,0.25,2.15,0.52,0.4,0.7,0.261,307
2024-03-30T00:00:00.000Z,0.2,3.65,0.98,0.7,1.4,0.531,494
2024-03-31T00:00:00.000Z,0.38,1.73,0.88,0.73,1,0.23,480
2024-04-01T00:00:00.000Z,0.08,8.4,0.5,0.35,0.8,0.553,479
2024-04-02T00:00:00.000Z,0.03,14.27,0.4,0.22,0.85,1.149,494
2024-04-03T00:00:00.000Z,0.1,1.6,0.4,0.3,0.47,0.164,492
2024-04-04T00:00:00.000Z,0.1,13.25,0.63,0.3,1.1,1.095,481
2024-04-05T00:00:00.000Z,0.2,6.57,0.56,0.45,0.77,0.5,477
2024-04-06T00:00:00.000Z,0.2,1.92,0.73,0.54,0.9,0.272,473
2024-04-07T00:00:00.000Z,0.6,5.09,1.42,1.1,1.7,0.469,495
2024-04-08T00:00:00.000Z,0.7,6.88,1.73,1.23,2.22,0.74,507
2024-04-09T00:00:00.000Z,0.15,4.95,1.4,0.74,2.27,1.078,505
2024-04-10T00:00:00.000Z,0.15,2.38,0.63,0.5,0.8,0.291,495
2024-04-11T00:00:00.000Z,0.32,46.72,0.73,0.6,0.99,5.328,509
2024-04-12T00:00:00.000Z,0.35,41.8,1.1,0.8,1.48,1.989,497
2024-04-13T00:00:00.000Z,0.6,9.1,1.45,1.1,1.8,0.646,502
2024-04-14T00:00:00.000Z,0.82,5.95,1.6,1.35,1.9,0.779,486
2024-04-15T00:00:00.000Z,0.7,492.5,1.7,1.1,4.34,24.829,522
2024-04-16T00:00:00.000Z,0.2,643.28,1.72,0.6,55.92,91.857,506
2024-04-17T00:00:00.000Z,0.2,45.3,2.1,0.95,9.18,10.262,503
2024-04-18T00:00:00.000Z,0.1,3,0.63,0.4,1.12,0.562,503
2024-04-19T00:00:00.000Z,0.1,2.27,0.5,0.38,0.77,0.308,503
2024-04-20T00:00:00.000Z,0,1.25,0.2,0.2,0.35,0.145,481
2024-04-21T00:00:00.000Z,0.15,45,0.7,0.4,0.97,2.112,488
2024-04-22T00:00:00.000Z,0.3,1.9,0.8,0.65,0.95,0.214,502
2024-04-23T00:00:00.000Z,0.73,3.58,1.5,1.3,1.77,0.519,505
2024-04-24T00:00:00.000Z,0.38,2.38,0.85,0.63,1.34,0.404,488
2024-04-25T00:00:00.000Z,0.2,5.22,0.7,0.5,1.1,0.923,493
2024-04-26T00:00:00.000Z,0.3,4.13,0.8,0.6,0.95,0.292,495
