date,min,max,median,q1,q3,stdev,count
2021-09-09T00:00:00.000Z,0,0.03,0,0,0,0.004,64
2021-09-10T00:00:00.000Z,0,0.1,0,0,0,0.006,562
2021-09-11T00:00:00.000Z,0,0.1,0,0,0,0.005,566
2021-09-12T00:00:00.000Z,0,0.1,0,0,0,0.011,572
2021-09-13T00:00:00.000Z,0,0.1,0,0,0,0.007,403
2021-09-14T00:00:00.000Z,0,0.05,0,0,0,0.002,588
2021-09-15T00:00:00.000Z,0,0,0,0,0,0,563
2021-09-16T00:00:00.000Z,0,0.08,0,0,0,0.004,567
2021-09-17T00:00:00.000Z,0,0.1,0,0,0,0.005,552
2021-09-18T00:00:00.000Z,0,0.1,0,0,0,0.007,547
2021-09-19T00:00:00.000Z,0,0.1,0,0,0,0.011,572
2021-09-20T00:00:00.000Z,0,0.08,0,0,0,0.007,568
2021-09-21T00:00:00.000Z,0,0.1,0,0,0,0.006,572
2021-09-22T00:00:00.000Z,0,0.1,0,0,0,0.012,575
2021-09-23T00:00:00.000Z,0,0.1,0,0,0,0.01,573
2021-09-24T00:00:00.000Z,0,0.1,0,0,0,0.019,548
2021-09-25T00:00:00.000Z,0,0.1,0,0,0,0.013,565
2021-09-26T00:00:00.000Z,0,0.1,0,0,0,0.011,542
2021-09-27T00:00:00.000Z,0,0.1,0,0,0,0.016,476
2021-09-28T00:00:00.000Z,0,0.1,0,0,0,0.008,574
2021-09-29T00:00:00.000Z,0,0.1,0,0,0,0.008,580
2021-09-30T00:00:00.000Z,0,0.1,0,0,0,0.006,570
2021-10-01T00:00:00.000Z,0,0.1,0,0,0,0.012,554
2021-10-02T00:00:00.000Z,0,0.1,0,0,0,0.008,556
2021-10-03T00:00:00.000Z,0,0.08,0,0,0,0.004,572
2021-10-04T00:00:00.000Z,0,0,0,0,0,0,568
2021-10-05T00:00:00.000Z,0,0.1,0,0,0,0.006,578
2021-10-06T00:00:00.000Z,0,0.03,0,0,0,0.001,571
2021-10-07T00:00:00.000Z,0,0.1,0,0,0,0.007,574
2021-10-08T00:00:00.000Z,0,0.1,0,0,0,0.006,569
2021-10-09T00:00:00.000Z,0,0.1,0,0,0,0.01,573
2021-10-10T00:00:00.000Z,0,0.1,0,0,0,0.01,583
2021-10-11T00:00:00.000Z,0,0.1,0,0,0,0.014,573
2021-10-12T00:00:00.000Z,0,0.1,0,0,0,0.01,485
2021-10-13T00:00:00.000Z,0,0,0,0,0,0,450
2021-10-14T00:00:00.000Z,0,0.1,0,0,0,0.004,538
2021-10-15T00:00:00.000Z,0,0.1,0,0,0,0.009,550
2021-10-16T00:00:00.000Z,0,0.1,0,0,0,0.011,546
2021-10-17T00:00:00.000Z,0,0.05,0,0,0,0.002,568
2021-10-18T00:00:00.000Z,0,0.1,0,0,0,0.006,555
2021-10-19T00:00:00.000Z,0,0.1,0,0,0,0.005,467
2021-10-20T00:00:00.000Z,0,0.03,0,0,0,0.003,558
2021-10-21T00:00:00.000Z,0,0,0,0,0,0,565
2021-10-22T00:00:00.000Z,0,0.1,0,0,0,0.005,556
2021-10-23T00:00:00.000Z,0,0.08,0,0,0,0.004,562
2021-10-24T00:00:00.000Z,0,0.1,0,0,0,0.008,557
2021-10-25T00:00:00.000Z,0,0.1,0,0,0,0.004,575
2021-10-26T00:00:00.000Z,0,0.1,0,0,0,0.011,578
2021-10-27T00:00:00.000Z,0,0.1,0,0,0,0.01,559
2021-10-28T00:00:00.000Z,0,0.08,0,0,0,0.005,572
2021-10-29T00:00:00.000Z,0,0.1,0,0,0,0.013,581
2021-10-30T00:00:00.000Z,0,0.1,0,0,0,0.008,577
2021-10-31T00:00:00.000Z,0,0.1,0,0,0,0.008,562
2021-11-01T00:00:00.000Z,0,0.1,0,0,0,0.008,578
2021-11-02T00:00:00.000Z,0,0.1,0,0,0,0.007,511
2021-11-03T00:00:00.000Z,0,0.1,0,0,0,0.006,533
2021-11-04T00:00:00.000Z,0,0.1,0,0,0,0.006,572
2021-11-05T00:00:00.000Z,0,0.1,0,0,0,0.015,568
2021-11-06T00:00:00.000Z,0,0.1,0,0,0,0.012,555
2022-02-01T00:00:00.000Z,0,0.1,0,0,0,0.011,383
2022-02-02T00:00:00.000Z,0,0.1,0,0,0,0.007,575
2022-02-03T00:00:00.000Z,0,0,0,0,0,0,118
2022-02-13T00:00:00.000Z,0,0.05,0,0,0,0.003,362
2022-02-14T00:00:00.000Z,0,0.1,0,0,0,0.008,561
2022-02-15T00:00:00.000Z,0,0.1,0,0,0,0.007,588
