date,min,max,median,q1,q3,stdev,count
2024-03-03T00:00:00.000Z,6.53,9.52,7.82,7.28,8.25,0.701,121
2024-03-04T00:00:00.000Z,6.85,17.5,9.32,8.55,10.9,1.952,707
2024-03-05T00:00:00.000Z,3.3,23.42,7.85,5.09,17.05,6.41,703
2024-03-06T00:00:00.000Z,5.8,17.98,9.75,8.19,12.13,2.432,704
2024-03-07T00:00:00.000Z,6,21.5,12.82,9.33,16.64,3.969,691
2024-03-08T00:00:00.000Z,2.9,20.5,8.43,5.95,12.18,3.552,706
2024-03-09T00:00:00.000Z,1.14,11.38,4.19,2.78,6.97,2.407,706
2024-03-10T00:00:00.000Z,1.4,10.05,4.7,3.95,5.63,1.923,706
2024-03-11T00:00:00.000Z,0.4,6.2,1.67,0.9,2.25,1.073,680
2024-03-12T00:00:00.000Z,1,10.07,2.2,1.88,3.07,1.883,706
2024-03-13T00:00:00.000Z,0.55,63.3,5.32,2.29,8.05,4.512,706
2024-03-14T00:00:00.000Z,3.55,20.42,9.48,7.05,11.93,2.829,705
2024-03-15T00:00:00.000Z,1,26.6,6.47,2.7,10.55,5.294,691
2024-03-16T00:00:00.000Z,0.2,11.88,1.73,0.8,4.07,3.039,708
2024-03-17T00:00:00.000Z,1.3,15.07,3.4,2.5,4.63,2.058,701
2024-03-18T00:00:00.000Z,1.3,10.6,3.72,3.22,4.34,1.098,707
2024-03-19T00:00:00.000Z,2,11.73,4.8,3.32,6.07,1.985,696
2024-03-20T00:00:00.000Z,3.1,23.85,7.48,5.9,13.65,5.237,694
2024-03-21T00:00:00.000Z,1.7,14.95,7.6,6.7,8.48,2.319,708
2024-03-22T00:00:00.000Z,3,20.5,11.03,7.82,12.74,3.278,613
2024-03-23T00:00:00.000Z,0.5,28.67,1.6,1.1,6.79,7.153,660
2024-03-24T00:00:00.000Z,0.38,3.72,1.2,0.9,1.54,0.586,696
2024-03-25T00:00:00.000Z,0.9,8,2.1,1.47,2.83,1.183,711
2024-03-26T00:00:00.000Z,1.23,9.05,3.32,1.83,4.5,1.716,714
2024-03-27T00:00:00.000Z,0.3,7.7,1.3,0.88,1.9,1.71,709
2024-03-28T00:00:00.000Z,0.2,31.42,1.75,0.82,3.4,3.36,707
