date,min,max,median,q1,q3,stdev,count
2021-01-18T00:00:00.000Z,3.05,8.82,6.47,5.57,7.17,1.333,56
2021-01-19T00:00:00.000Z,2.7,16.6,6.05,4.72,7.18,1.975,215
2021-01-20T00:00:00.000Z,5.5,18.95,11.03,9.66,14.05,2.805,260
2021-01-21T00:00:00.000Z,9.27,18.35,12.38,11.04,14.73,2.114,241
2021-01-22T00:00:00.000Z,4.34,42.63,8.01,7.09,10.69,3.302,256
2021-01-23T00:00:00.000Z,0.3,68.5,5.47,2.13,11.57,6.587,263
2021-01-24T00:00:00.000Z,1.17,17.63,3.03,2.5,5.57,4.254,279
2021-01-25T00:00:00.000Z,2.52,14.77,7.78,4.97,10.5,3.221,241
2021-01-26T00:00:00.000Z,2.95,14.15,6.2,4.78,8.13,2.876,255
2021-01-27T00:00:00.000Z,3.65,18.89,6.89,6.1,8.75,2.126,230
2021-01-28T00:00:00.000Z,1,21.45,11.8,2.2,14.06,6.343,276
2021-01-29T00:00:00.000Z,0.43,7.88,1.2,1,3.04,1.634,217
2021-01-30T00:00:00.000Z,0.6,120.45,1.98,1.1,5.44,8.416,253
2021-01-31T00:00:00.000Z,4.3,22.4,9.91,7.13,11.73,2.979,258
2021-02-01T00:00:00.000Z,8.5,40.67,13.6,10.45,20.98,5.629,212
2021-02-02T00:00:00.000Z,1.9,27.75,16.67,3.19,22.23,9.262,236
2021-02-03T00:00:00.000Z,0.6,8.75,1.4,0.88,3,2.004,139
2021-02-04T00:00:00.000Z,0.5,10.48,1.17,0.88,3.58,2.356,266
2021-02-05T00:00:00.000Z,3.1,40.6,5.22,4.68,6.6,3.283,239
2021-02-06T00:00:00.000Z,8.75,298.14,12.85,11.02,14.32,18.62,238
2021-02-07T00:00:00.000Z,8.38,26.75,10.61,9.55,12.85,2.278,238
2021-02-08T00:00:00.000Z,5.18,30.73,16.38,13.17,18.89,4.47,253
2021-02-09T00:00:00.000Z,7.57,29.02,14.3,10.43,18.3,4.432,242
2021-02-10T00:00:00.000Z,6.1,25.17,19,15.25,20.45,4.639,242
2021-02-11T00:00:00.000Z,3.95,11.3,7.87,6.53,8.78,1.485,224
2021-02-12T00:00:00.000Z,3.38,15.9,6.25,5.32,6.9,1.438,260
2021-02-13T00:00:00.000Z,2.27,18.39,6.3,4.5,7.28,2.108,259
2021-02-14T00:00:00.000Z,4.25,42.83,6.95,5.94,10.24,3.392,241
2021-02-15T00:00:00.000Z,3.42,14.23,10.19,6.62,12.03,3.021,248
2021-02-16T00:00:00.000Z,9.82,27.2,21.38,16.39,23.44,4.498,233
2021-02-17T00:00:00.000Z,1,16.73,5.35,1.63,10.97,5.004,232
2021-02-18T00:00:00.000Z,2.5,26.55,6.6,4.9,9.9,3.642,266
2021-02-19T00:00:00.000Z,0.82,18,6.63,4.75,8.68,2.838,230
2021-02-20T00:00:00.000Z,5.22,30.45,9.1,7.53,10.23,2.298,241
2021-02-21T00:00:00.000Z,10.23,109.15,24.67,21.67,26.77,6.899,255
2021-02-22T00:00:00.000Z,15.7,25.55,19.96,18.64,21.58,1.985,212
2021-02-23T00:00:00.000Z,15.07,23.65,18.73,17.27,19.95,1.836,230
2021-02-24T00:00:00.000Z,10.32,43.63,13.1,11.94,14.4,2.564,237
2021-02-25T00:00:00.000Z,8.63,16.17,10.75,10.02,11.6,1.174,239
2021-02-26T00:00:00.000Z,2.2,23.3,8.6,5.9,10.05,3.35,227
2021-02-27T00:00:00.000Z,1.1,154.1,5.88,3.74,7.13,9.503,256
2021-02-28T00:00:00.000Z,2.6,11,7.4,5.37,8.84,2.059,265
2021-03-01T00:00:00.000Z,1.42,20.39,9.09,6.89,13.84,4.403,232
2021-03-02T00:00:00.000Z,4.84,17.98,8.26,6.45,12.77,3.578,246
2021-03-03T00:00:00.000Z,7.3,34,20.85,13.3,23.6,6.188,227
2021-03-04T00:00:00.000Z,6.53,31.23,13.73,9.11,20.5,5.82,233
